epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
1,141.75,3.53414,10.9617,4.24088,0.00074,0.23958,0.00257,0.00074,3.67753,10.5394,4.16562,0.00331361,0.00331361,0.00331361,43.82907,44.369305
2,276.278,3.52906,9.80249,4.10383,0.76286,0.06366,0.01818,0.00332,3.63603,8.17962,4.17487,0.00664676,0.00664676,0.00664676,42.426185,41.71215
3,411.983,3.0454,7.8242,3.42183,0.67835,0.22181,0.10322,0.03985,3.14527,10.2563,3.19162,0.00997919,0.00997919,0.00997919,35.797445,38.633255
4,547.124,2.62232,6.48605,2.85926,0.09867,0.13177,0.1306,0.07148,2.57386,6.21041,2.77209,0.00999756,0.00999756,0.00999756,30.44234,29.672495
5,681.499,2.3726,5.4033,2.56137,0.29548,0.23306,0.18949,0.13245,2.54406,5.1407,2.70702,0.00999566,0.00999566,0.00999566,27.039855,28.28168
6,816.886,2.16677,4.64802,2.32872,0.68323,0.25781,0.2834,0.20714,2.20614,4.59744,2.35887,0.00999322,0.00999322,0.00999322,24.391875,24.681795
7,951.07,2.04401,4.29111,2.18437,0.58138,0.34223,0.3149,0.19144,2.3293,4.42873,2.41035,0.00999023,0.00999023,0.00999023,22.89774,25.514005
8,1084.57,1.94506,4.02737,2.09565,0.59863,0.32128,0.3161,0.19632,2.33816,4.18131,2.41917,0.00998671,0.00998671,0.00998671,21.758795,25.346265
9,1218.57,1.87586,3.89381,2.0016,0.45749,0.34672,0.3528,0.22732,1.98372,3.67257,2.18434,0.00998264,0.00998264,0.00998264,20.96516,21.82698
10,1351.09,1.76992,3.54161,1.9212,0.48922,0.34564,0.35289,0.24104,1.96278,3.68129,2.12302,0.00997803,0.00997803,0.00997803,19.69781,21.58667
11,1483.88,1.72949,3.38497,1.864,0.52971,0.3518,0.38692,0.23621,1.86718,3.44919,2.07972,0.00997288,0.00997288,0.00997288,19.152145,20.57262
12,1616.22,1.70706,3.31628,1.8481,0.55749,0.38633,0.40891,0.26036,1.86423,3.07705,2.02858,0.0099672,0.0099672,0.0099672,18.89138,20.101645
13,1747.46,1.6629,3.22056,1.7885,0.63532,0.38719,0.38835,0.26173,1.76421,3.18694,1.95562,0.00996097,0.00996097,0.00996097,18.37506,19.351945
14,1881.52,1.60697,3.0429,1.72628,0.73796,0.31765,0.38193,0.25,1.82745,3.16793,1.9677,0.0099542,0.0099542,0.0099542,17.684595,19.825355
15,2017.72,1.57968,3.03447,1.72115,0.63102,0.39447,0.38617,0.24662,1.86236,3.10952,1.99766,0.0099469,0.0099469,0.0099469,17.463795,20.07371
16,2152.01,1.56676,2.92112,1.69035,0.50774,0.38386,0.38426,0.24373,1.85085,3.04831,1.92104,0.00993906,0.00993906,0.00993906,17.207345,19.811245
