epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,precision,recall,mAP@0.5,mAP@0.5-0.95,val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,train_loss,val_loss
1,127.589,3.45482,31.48,4.2505,0.00027,0.12963,0.00032,9e-05,3.40734,30.1709,4.14661,0.00329412,0.00329412,0.00329412,63.7669,230.4333012
2,235.92,3.52851,30.1733,4.26279,0.00063,0.24306,0.04063,0.00886,3.56303,28.4853,4.31362,0.00662727,0.00662727,0.00662727,63.03131,217.9633109
3,393.842,3.53537,25.5683,4.13533,0.00193,0.00637,0.05161,0.00642,4.93891,27.3674,14.3525,0.0099597,0.0099597,0.0099597,58.28657,219.6229396
4,566.444,3.12167,19.7574,3.59299,0.40238,0.05958,0.07891,0.03605,2.91558,31.3343,3.71947,0.00999756,0.00999756,0.00999756,48.55941,238.7417163
5,690.911,2.72979,16.1689,3.06316,0.22656,0.2024,0.11119,0.05342,3.09254,18.9803,3.15261,0.00999566,0.00999566,0.00999566,41.237065,145.5198535
6,796.14,2.41827,13.6001,2.72281,0.59402,0.22461,0.22813,0.1663,2.84304,18.42,2.77736,0.00999322,0.00999322,0.00999322,35.82134,140.9423498
7,901.941,2.26193,12.2066,2.49419,0.58409,0.24327,0.23998,0.17602,2.43928,16.0105,2.4464,0.00999023,0.00999023,0.00999023,32.91236,122.5401353
8,1049.6,2.10023,11.6032,2.31738,0.73908,0.10276,0.23204,0.16322,2.44468,15.315,2.37698,0.00998671,0.00998671,0.00998671,30.830995,117.2544601
9,1176.21,2.01495,11.0076,2.19083,0.60779,0.22753,0.27056,0.20574,2.35672,12.6811,2.18776,0.00998264,0.00998264,0.00998264,29.40597,97.31098396
10,1374.84,1.92697,10.3146,2.07926,0.35469,0.238,0.2485,0.18007,2.44952,14.4479,2.24726,0.00997803,0.00997803,0.00997803,27.885765,110.621477
11,1532.4,1.84732,9.74607,1.99073,0.22104,0.28309,0.27215,0.2029,2.1121,11.9933,2.07038,0.00997288,0.00997288,0.00997288,26.587065,92.03508932
12,1638.62,1.84111,9.6658,1.94938,0.37602,0.36278,0.31199,0.21661,2.16987,12.7569,1.96475,0.0099672,0.0099672,0.0099672,26.398195,97.6564508
13,1742.96,1.77432,9.22544,1.89945,0.98478,0.22748,0.26408,0.20573,2.36731,13.4622,2.19928,0.00996097,0.00996097,0.00996097,25.382015,103.1807215
14,1848.57,1.76668,8.92344,1.84101,0.46668,0.34323,0.31694,0.22208,2.06129,10.207,1.86742,0.0099542,0.0099542,0.0099542,24.935055,78.4348513
15,1955.71,1.72847,8.86953,1.8258,0.66209,0.28164,0.28778,0.19557,2.39916,10.1631,2.24549,0.0099469,0.0099469,0.0099469,24.571755,78.48366035
16,2059.3,1.70326,8.59695,1.78693,0.77744,0.3561,0.37611,0.23831,1.92301,8.45441,1.8914,0.00993906,0.00993906,0.00993906,24.051795,65.31438359
17,2163.98,1.64249,8.21378,1.7331,0.50776,0.368,0.3452,0.22676,2.12546,8.42346,1.92662,0.00993068,0.00993068,0.00993068,23.132105,65.11746602
18,2294.08,1.69044,8.59472,1.74269,0.58079,0.30124,0.30925,0.20497,2.20242,11.6479,2.0455,0.00992177,0.00992177,0.00992177,23.887055,89.41963266
19,2440.77,1.62751,8.11973,1.69212,0.50405,0.39056,0.35799,0.22659,2.12884,9.31569,2.015,0.00991232,0.00991232,0.00991232,22.864235,71.89754348
20,2546.19,1.62606,8.22129,1.68723,0.5057,0.367,0.39503,0.23796,2.0277,8.68627,2.00529,0.00990234,0.00990234,0.00990234,22.947585,67.16716851
21,2653.18,1.6218,8.21739,1.68237,0.75789,0.30452,0.3532,0.21175,2.11084,10.1865,2.00995,0.00989183,0.00989183,0.00989183,22.904445,78.42353775
22,2759.72,1.55543,7.85834,1.64162,0.57084,0.41371,0.45157,0.27042,1.86416,8.00309,1.73059,0.00988079,0.00988079,0.00988079,21.986495,61.76858619
23,2863.81,1.5567,7.69645,1.62303,0.99601,0.22772,0.30703,0.21995,2.06744,16.813,1.94197,0.00986922,0.00986922,0.00986922,21.806245,128.0542738
24,2968.51,1.53571,7.74174,1.61768,0.5105,0.37418,0.34974,0.22233,2.24528,11.8697,2.07775,0.00985711,0.00985711,0.00985711,21.686085,91.11528567
